review_id,category,product_name,rating,review
1,Makeup,Skin Tint A,5,"Very lightweight and gives a natural finish. Perfect for everyday use."
2,Makeup,Foundation B,3,"Coverage is good but it feels heavy after a few hours."
3,Makeup,Skin Tint C,4,"I like the glow and hydration but I wish it had higher SPF."
4,Makeup,Foundation D,2,"Makes my skin dry and looks cakey in summer."
5,Makeup,BB Cream E,5,"Easy to use, lightweight and great for office makeup."
6,Makeup,Foundation F,3,"Good coverage but shade matching is difficult."
7,Makeup,Skin Tint G,5,"Love the natural finish and breathable texture."
8,Makeup,Foundation H,2,"Feels oily after three hours and does not last long."
9,Makeup,BB Cream I,4,"Hydrating and comfortable but SPF protection is low."
10,Makeup,Skin Tint J,5,"Looks like real skin and works well for minimal makeup."
11,Skincare,Hydrating Serum A,5,"Very hydrating and absorbs quickly without feeling sticky."
12,Skincare,Moisturizer B,3,"Good hydration but feels heavy during humid weather."
13,Skincare,Sunscreen C,5,"Lightweight sunscreen with no white cast."
14,Skincare,Sunscreen D,2,"Leaves a white cast and feels greasy."
15,Skincare,Serum E,4,"Skin feels smoother but the product is expensive."
16,Skincare,Moisturizer F,5,"Lightweight, calming and works well under makeup."
17,Skincare,Sunscreen G,4,"Good SPF protection but needs better hydration."
18,Skincare,Serum H,3,"Nice texture but results take a long time."
19,Skincare,Moisturizer I,5,"Great for sensitive skin and does not feel oily."
20,Skincare,Sunscreen J,5,"Invisible finish and comfortable for daily use."
21,Makeup,Lip Tint A,5,"Long lasting color and looks natural."
22,Makeup,Lipstick B,2,"Beautiful shade but makes my lips very dry."
23,Makeup,Lip Tint C,4,"Comfortable and lightweight but fades after meals."
24,Makeup,Mascara D,3,"Looks good but smudges in humid weather."
25,Makeup,Concealer E,5,"Lightweight and blends easily without looking cakey."
26,Skincare,Cleanser A,4,"Gentle cleanser and does not dry my skin."
27,Skincare,Cleanser B,2,"Skin feels tight after washing."
28,Skincare,Vitamin C Serum C,4,"Adds brightness but sometimes causes irritation."
29,Skincare,Niacinamide Serum D,5,"Helps control oil without drying the skin."
30,Skincare,Moisturizer E,4,"Good hydration but packaging could be more convenient."
