product_id,category,product_name,features,target_segment
1,Makeup,Glow Skin Tint,"Lightweight coverage; Natural glow; SPF 25","Gen Z; Young Professionals"
2,Makeup,Hydra Foundation,"Medium coverage; Hyaluronic acid; Hydrating","Dry Skin"
3,Makeup,Matte Foundation,"Full coverage; Matte finish; Oil control","Oily Skin"
4,Makeup,Daily BB Cream,"Light coverage; SPF 20; Hydration","Daily Makeup"
5,Makeup,Serum Foundation,"Lightweight; Serum texture; Natural finish","Minimal Makeup Users"
6,Makeup,Longwear Lip Tint,"Long lasting; Lightweight; Natural color","Gen Z"
7,Makeup,Hydrating Lip Color,"Moisturizing; Cream finish; Comfortable","Dry Lips"
8,Skincare,Daily SPF Gel,"SPF 50; Lightweight; No white cast","All Skin Types"
9,Skincare,Hydra Serum,"Hyaluronic acid; Hydration; Lightweight","Dry Skin"
10,Skincare,Oil Control Serum,"Niacinamide; Oil control; Lightweight","Oily Skin"
11,Skincare,Sensitive Moisturizer,"Fragrance free; Calming; Hydrating","Sensitive Skin"
12,Skincare,Glow Vitamin C Serum,"Vitamin C; Brightening; Antioxidant","Dull Skin"
13,Skincare,Gentle Cleanser,"Non stripping; Mild; Hydrating","Sensitive Skin"
14,Skincare,Barrier Cream,"Ceramides; Barrier support; Deep hydration","Dry Skin"
15,Skincare,Invisible Sunscreen,"SPF 50; Invisible finish; Lightweight","Daily SPF Users"
